PASS   unit-phase                                              1510 cases
PASS   Audio2Face3DTests.E2EAudio2Face3DTests                  3 passed, 0 skipped
PASS   NemotronStreamingASRTests.E2ENemotronLangTagLeakTests   3 passed, 0 skipped
PASS   NemotronStreamingASRTests.E2ENemotronMLXTests           0 passed, 2 skipped
PASS   NemotronStreamingASRTests.E2ENemotronMultilingualBench  0 passed, 1 skipped
PASS   NemotronStreamingASRTests.E2ENemotronStreamingASRTests  9 passed, 2 skipped
PASS   OmnilingualASRTests.E2EOmnilingualASRTests              9 passed, 0 skipped
PASS   OmnilingualASRTests.E2EOmnilingualMLX1BTests            1 passed, 0 skipped
PASS   OmnilingualASRTests.E2EOmnilingualMLXHarshAudioTests    3 passed, 0 skipped
PASS   OmnilingualASRTests.E2EOmnilingualMLXQualityTests       3 passed, 0 skipped
PASS   OmnilingualASRTests.E2EOmnilingualMLXTests              7 passed, 0 skipped
PASS   ParakeetASRTests.E2EParakeetANETests                    1 passed, 0 skipped
PASS   ParakeetASRTests.E2EParakeetASRTests                    7 passed, 0 skipped
PASS   ParakeetASRTests.E2EParakeetMultiEncoderTests           0 passed, 4 skipped
PASS   ParakeetASRTests.E2EParakeetShapeAdaptationTests        3 passed, 0 skipped
PASS   ParakeetStreamingASRTests.E2EParakeetStreamingASRTests  7 passed, 0 skipped
PASS   PersonaPlexTests.E2EPersonaPlexTests                    18 passed, 0 skipped
PASS   Qwen3ASRTests.E2ECoreMLASRTests                         1 passed, 0 skipped
PASS   Qwen3ASRTests.E2ECoreMLForcedAlignerBenchTests          0 passed, 1 skipped
PASS   Qwen3ASRTests.E2ECoreMLForcedAlignerLocalSmokeTests     0 passed, 1 skipped
PASS   Qwen3ASRTests.E2ECoreMLForcedAlignerTests               0 passed, 2 skipped
PASS   Qwen3ASRTests.E2EQwen3ASRBatchedDecodeCorrectnessTests  2 passed, 0 skipped
PASS   Qwen3ASRTests.E2EQwen3ASRExperimentalBatchedDecodeTests 0 passed, 1 skipped
PASS   Qwen3ASRTests.E2EQwen3ASRGreedyDeterminismTests         2 passed, 0 skipped
PASS   Qwen3ASRTests.E2EQwen3ASRHarshAudioTests                3 passed, 0 skipped
PASS   Qwen3ASRTests.E2EQwen3ASRIntegrationTests               9 passed, 0 skipped
PASS   Qwen3ASRTests.E2EQwen3ASRLargeHangTests                 2 passed, 0 skipped
PASS   Qwen3ASRTests.E2EQwen3ASRLongFormTests                  2 passed, 0 skipped
PASS   Qwen3ASRTests.E2EQwen3DecodingOptionsTests              2 passed, 0 skipped
PASS   Qwen3ChatTests.E2EGemma4GenTests                        0 passed, 3 skipped
PASS   Qwen3ChatTests.E2EGemma4ParityTests                     0 passed, 1 skipped
PASS   Qwen3ChatTests.E2EQwen35CoreMLChatTests                 3 passed, 0 skipped
PASS   Qwen3ChatTests.E2EQwen35MLXChatTests                    5 passed, 0 skipped
PASS   Qwen3TTSCoreMLTests.E2EQwen3TTSCoreMLBenchmarkTests     4 passed, 1 skipped
PASS   Qwen3TTSCoreMLTests.E2EQwen3TTSCoreMLTests              4 passed, 0 skipped
PASS   Qwen3TTSTests.E2ECustomVoiceInstructTests               0 passed, 9 skipped
PASS   Qwen3TTSTests.E2EEOSCapTests                            2 passed, 0 skipped
PASS   Qwen3TTSTests.E2EICLVoiceCloningTests                   4 passed, 0 skipped
PASS   Qwen3TTSTests.E2EInstructTokenTests                     3 passed, 0 skipped
PASS   Qwen3TTSTests.E2ESpeakerTokenPositionTests              2 passed, 0 skipped
PASS   Qwen3TTSTests.E2ETTS17BTests                            7 passed, 0 skipped
PASS   Qwen3TTSTests.E2ETTS8bitTests                           3 passed, 0 skipped
PASS   Qwen3TTSTests.E2ETTSBatchTests                          4 passed, 0 skipped
PASS   Qwen3TTSTests.E2ETTSLongTextTests                       1 passed, 0 skipped
PASS   Qwen3TTSTests.E2ETTSStreamingTests                      8 passed, 0 skipped
PASS   Qwen3TTSTests.E2ETTSTests                               9 passed, 0 skipped
PASS   Qwen3TTSTests.E2EVoiceCloningTests                      5 passed, 0 skipped
PASS   SourceSeparationTests.E2EHTDemucsTests                  0 passed, 6 skipped
PASS   SourceSeparationTests.E2EOpenUnmixBenchmarkTests        3 passed, 0 skipped
PASS   SourceSeparationTests.E2EOpenUnmixTests                 6 passed, 0 skipped
PASS   SpeechEnhancementTests.E2EDeepFilterNet3ChunkingTests   3 passed, 0 skipped
PASS   SpeechEnhancementTests.E2ELocalVQEAECTests              5 passed, 0 skipped
PASS   SpeechRestorationTests.E2ESpeechRestorationTests        0 passed, 3 skipped
PASS   SpeechUITests.E2ESpeechUIWiringTests                    2 passed, 0 skipped
PASS   SpeechVADTests.E2ECommunity1DiarizationTests            0 passed, 1 skipped
PASS   SpeechVADTests.E2EDiarizationPipelineTests              3 passed, 0 skipped
PASS   SpeechVADTests.E2EFireRedVADTests                       4 passed, 0 skipped
PASS   SpeechVADTests.E2EReDimNet2SpeakerTests                 3 passed, 0 skipped
PASS   SpeechVADTests.E2ESileroVADBenchmarkTests               1 passed, 0 skipped
PASS   SpeechVADTests.E2EWeSpeakerBenchmarkTests               1 passed, 0 skipped
PASS   SpeechVADTests.E2EWeSpeakerTests                        14 passed, 0 skipped
PASS   SpeechWakeWordTests.E2ESpeechWakeWordTests              10 passed, 0 skipped
PASS   StableAudio3MusicGenTests.E2EGenerationTests            1 passed, 0 skipped
PASS   VibeVoiceTTSTests.E2EVibeVoice1_5BTests                 4 passed, 0 skipped
PASS   VibeVoiceTTSTests.E2EVibeVoiceTests                     2 passed, 1 skipped
FAIL   VoxCPM2TTSTests.E2EVoxCPM2TTSTests                      see .e2e-logs/E2EVoxCPM2TTSTests.log
PASS   VoxtralASRTests.E2EVoxtralASRTests                      0 passed, 1 skipped
